,names,brands,prices,images
0,Adidas Ultimashow 2.0 Lifestyle Shoes for Men,adidas,QR 269.00,https://sportscorner.qa/static/version1756635099/frontend/Olegnax/athlete2_child/en_US/Olegnax_Core/images/preloader-img.svg
1,Adidas Adilette Shower Slides for Men,adidas,QR 139.00,https://sportscorner.qa/static/version1756635099/frontend/Olegnax/athlete2_child/en_US/Olegnax_Core/images/preloader-img.svg
2,Adidas Adilette Lumia Slides for Men,adidas,QR 159.00,https://sportscorner.qa/static/version1756635099/frontend/Olegnax/athlete2_child/en_US/Olegnax_Core/images/preloader-img.svg
3,Adidas Adilette Lumia Slides for Men,adidas,QR 159.00,https://sportscorner.qa/static/version1756635099/frontend/Olegnax/athlete2_child/en_US/Olegnax_Core/images/preloader-img.svg
4,Adidas Grand Court TD Lifestyle Court Casual Shoes for Men,adidas,QR 289.00,"data:image/svg+xml;utf8,<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 800 800"" width=""800"" height=""800""></svg>"
5,Adidas Cloudfoam Go Lounger Shoes for Men,adidas,QR 269.00,"data:image/svg+xml;utf8,<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 800 800"" width=""800"" height=""800""></svg>"
6,Adidas Breaknet 2.0 Shoes for Men,adidas,QR 269.00,"data:image/svg+xml;utf8,<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 800 800"" width=""800"" height=""800""></svg>"
7,Adidas Duramo SL 2 Running Shoes for Men,adidas,QR 289.00,"data:image/svg+xml;utf8,<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 800 800"" width=""800"" height=""800""></svg>"
8,Adidas Duramo SL 2 Running Shoes for Men,adidas,QR 179.00,"data:image/svg+xml;utf8,<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 800 800"" width=""800"" height=""800""></svg>"
9,Adidas Runfalcon 5 Running Shoes for Men,adidas,QR 289.00,https://sportscorner.qa/static/version1756635099/frontend/Olegnax/athlete2_child/en_US/Olegnax_Core/images/preloader-img.svg
10,Adidas Duramo SL 2 Running Shoes for Men,adidas,QR 179.00,https://sportscorner.qa/static/version1756635099/frontend/Olegnax/athlete2_child/en_US/Olegnax_Core/images/preloader-img.svg
11,Adidas Duramo Rc U for Adults,adidas,QR 269.00,https://sportscorner.qa/static/version1756635099/frontend/Olegnax/athlete2_child/en_US/Olegnax_Core/images/preloader-img.svg
